"transaction_amount","aux_mdr_fee","mdr_fee","gateway_fee","transaction_id","payment_method","installments_range","financial_operation_type","created_at","date","day_of_week","company_id","company_mcc","company_type","product_name","acquirer_name"
18000,468,468,20.0,"0198761592",credit_card,a vista,capture,14:57:40,2020-09-09,3.0,"65a09e93810c44c","4816",outbound,psp,acquirer_3
18000,468,468,20.0,"0198761592",credit_card,a vista,capture,14:57:39,2020-09-09,3.0,"65a09e93810c44c","4816",outbound,psp,pagarme
92390,343,343,32.0,"01b57d78f0",credit_card,"2-6",capture,14:55:02,2020-09-09,3.0,"704b7a7a0f7a7a4","5122",inbound,psp,pagarme
92390,343,343,32.0,"01b57d78f0",credit_card,"2-6",capture,14:55:02,2020-09-09,3.0,"704b7a7a0f7a7a4","5122",inbound,psp,acquirer_3
7880,180,180,0.0,"02830e1cbe",credit_card,a vista,capture,14:58:39,2020-09-09,3.0,"10c33d344710b96","8999",outbound,psp,pagarme
7880,180,180,0.0,"02830e1cbe",credit_card,a vista,capture,14:58:39,2020-09-09,3.0,"10c33d344710b96","8999",outbound,psp,acquirer_3
16512,194,194,50.0,"02b0aa3ac1",credit_card,"2-6",capture,14:57:09,2020-09-09,3.0,efd17a99ed76fc2,"5947",outbound,psp,pagarme
16512,194,194,50.0,"02b0aa3ac1",credit_card,"2-6",capture,14:57:09,2020-09-09,3.0,efd17a99ed76fc2,"5947",outbound,psp,acquirer_3
7496,179,179,90.0,"031d8b21be",credit_card,a vista,capture,14:55:16,2020-09-09,3.0,d989f5c5540226b,"5047",inbound,psp,pagarme
7496,179,179,90.0,"031d8b21be",credit_card,a vista,capture,14:55:16,2020-09-09,3.0,d989f5c5540226b,"5047",inbound,psp,acquirer_3
12205,102,102,120.0,"04da3feaa7",credit_card,"2-6",capture,14:54:53,2020-09-09,3.0,"078e46f5b7adb56","5712",self_register,psp,pagarme
12205,102,102,120.0,"04da3feaa7",credit_card,"2-6",capture,14:54:53,2020-09-09,3.0,"078e46f5b7adb56","5712",self_register,psp,acquirer_3
2400,22,22,30.0,"04fa0fb1bb",credit_card,"2-6",capture,14:59:46,2020-09-09,3.0,af6a0cb8cb4dd5a,"8299",outbound,psp,pagarme
2400,22,22,30.0,"04fa0fb1bb",credit_card,"2-6",capture,14:59:47,2020-09-09,3.0,af6a0cb8cb4dd5a,"8299",outbound,psp,acquirer_3
22590,79,79,50.0,"07012c8e9b",credit_card,"7-12",capture,14:59:18,2020-09-09,3.0,a0faf1645e4be26,"5712",outbound,psp,pagarme
22590,79,79,50.0,"07012c8e9b",credit_card,"7-12",capture,14:59:19,2020-09-09,3.0,a0faf1645e4be26,"5712",outbound,psp,acquirer_3
59980,458,458,15.0,"071ba130dd",credit_card,"2-6",capture,10:10:19,2020-09-09,3.0,a1c2f57e42dd0b9,"5311",outbound,psp,acquirer_3
59980,458,458,15.0,"071ba130dd",credit_card,"2-6",capture,10:10:19,2020-09-09,3.0,a1c2f57e42dd0b9,"5311",outbound,psp,pagarme
20000,168,168,30.0,"088fd788c3",credit_card,"2-6",capture,14:57:43,2020-09-09,3.0,"47a44233dda03cc","8011",outbound,psp,pagarme
